id_tempat;nama_tempat;id_pembimbing
1;Sekretariat Daerah Sumedang;1
2;Jonas Photo  (Bandung);2
3;B One Corporation;2
4;Percetakan Sofasco;2
5;Polres Sumedang;2
6;Dinas Pekerjaan Umum;3
7;BAPPPEDA;3
8;PT. Milari Risalah Wisata;3
9;Busy Production;4
10;Freya Clinic;4
11;Sumedang Laptop;4
12;PT. Tritunggal Swarna Factory;4
13;PT. Chlorine Digital Media;5
14;Ismail Copy Center;5
15;PT MULTI BOX INDAH;5
16;PT Newtype Tekno Pioneer;5
17;Dinas Sosial Sumedang;5
18;Dinas Arsip dan Perpustakaan Umum Daerah Sumedang;6
19;PT Elion Hanaya Abyudaya;6
20;FTI UNSAP;6
21;Badan Kesatuan Bangsa dan Politik;7
22;MPP Sumedang;7
23;Cemara Agung;7
24;Dinas Perumahan Kawasan Permukiman;8
25;Percetakan Nadhif;8
26;JNT Cargo;8
27;PLN (Persero);9
28;PT. TIKI Jalur Nugraha Ekakurir (JNE);9
29;Pengadilan Agama Sumedang;9
30;Studio Genic;10
31;Dinas Koperasi Usaha Kecil Menengah Perdagangan dan Perindustrian ;10
32;Pegadaian Sumedang;10
33;Kantor Kecamatan Cimalaka;10
34;Dikhan Print;11
35;RSUD UMAR WIRAHADIKUSUMAH;11
36;STO Telkom Sumedang;11
37;Dinas Pemberdayaan Masyarakat Desa;12
38;Bawaslu;12
39;Pubdok Sumedang;12
40;Kecamatan Rancakalong;12
41;Ciho Print Shop;13
42;Kilau Indonesia Cabang Sumedang;13
43;Akbar Photo;13
44;Kantor Pertanahan (ATRI BPN);14
45;Polsek Sumedang Selatan;14
46;Dinas Lingkungan Hidup Kehutanan (DLHK);15
47;Unsap FIB;15
48;Kominfo;16
49;Madani Printing;16
50;Mediana Digital Foto & Digital Printing;16
51;PAR Tv;17
52;Pengadilan Negeri Sumedang;17
53;Kantor Six Diary;17
54;Jonas Photo  Jatinangor;18
55;Dinas Tenaga Kerja dan Transmigrasi;18
56;Erks Radio Sumedang;18
57;Disduk Capil Sumedang;19
58;Baznas Sumedang;19
59;Samsat Sumedang;19
60;SMTV;20
61;Q photography;20
62;Dinas Pertanian dan Ketahanan Pangan;20
63;Badan Keuangan dan Aset Daerah;21
64;Lapas Sumedang;21
65;PT Anidar Wisata Persada;21
66;Dinas Pendidikan Sumedang;22
67;Timeless Self Photo;22
68;BAPENDA;22
69;Perumda Air Minum Tirta Medal Sumedang;23
70;DPPKBP3A;23
71;J&T Express;23
72;PT. Kordon Putra Sinergi;24
73;Dinas Pariwisata, Kebudayaan, Kepemudaan dan Olahraga (DISPARBUDPORA);24
74;Satpol PP Kabupaten Sumedang;24
75;Dinas Perhubungan;25
76;Konveksi Harokah;25
77;Sumedang Ekspress;26
78;STAI Sebelas April Sumedang;26
79;Kelurahan Kota Kulon;26
80;Panti Baca Cerita/Ceria Space;27
81;Dinas Perikanan dan Peternakan;27
82;Dinas Kehutanan;27
83;Konveksi Bestro;28
84;Amorpic Fotography;28
85;PT. Sawala Inovasi Indonesia;28
86;BPJS Kesehatan;29
87;BPJS Ketenagakerjaan Sumedang;29
88;Kementrian Agama;30
89;Badan Pusat Statistik ;30
